iidcodigop,iidentidad,iidalcaldia,iestatus
04899,9,4,1
04908,9,4,1
04909,9,4,1
04910,9,4,1
04918,9,4,1
04919,9,4,1
04920,9,4,1
04929,9,4,1
04930,9,4,1
04938,9,4,1
04939,9,4,1
04940,9,4,1
04950,9,4,1
04960,9,4,1
04970,9,4,1
04980,9,4,1
05000,9,5,1
05010,9,5,1
05020,9,5,1
05030,9,5,1
05039,9,5,1
05050,9,5,1
05060,9,5,1
05100,9,5,1
05110,9,5,1
05118,9,5,1
05119,9,5,1
05120,9,5,1
05126,9,5,1
05128,9,5,1
05129,9,5,1
05130,9,5,1
05200,9,5,1
05214,9,5,1
05219,9,5,1
05220,9,5,1
05230,9,5,1
05238,9,5,1
05240,9,5,1
05249,9,5,1
05260,9,5,1
05268,9,5,1
05269,9,5,1
05270,9,5,1
05280,9,5,1
05310,9,5,1
05320,9,5,1
05330,9,5,1
05348,9,5,1
05349,9,5,1
05360,9,5,1
05370,9,5,1
05379,9,5,1
05400,9,5,1
05410,9,5,1
05500,9,5,1
05520,9,5,1
05530,9,5,1
05600,9,5,1
05610,9,5,1
05619,9,5,1
05620,9,5,1
05700,9,5,1
05710,9,5,1
05730,9,5,1
05750,9,5,1
05760,9,5,1
05780,9,5,1
06000,9,6,1
06010,9,6,1
06020,9,6,1
06030,9,6,1
06038,9,6,1
06040,9,6,1
06050,9,6,1
06060,9,6,1
06070,9,6,1
06080,9,6,1
06090,9,6,1
06100,9,6,1
06140,9,6,1
06170,9,6,1
06200,9,6,1
06220,9,6,1
06240,9,6,1
06250,9,6,1
06270,9,6,1
06280,9,6,1
06300,9,6,1
06350,9,6,1
06400,9,6,1
06430,9,6,1
06450,9,6,1
06470,9,6,1
06500,9,6,1
06600,9,6,1
06700,9,6,1
06707,9,6,1
06720,9,6,1
06728,9,6,1
06740,9,6,1
06760,9,6,1
06780,9,6,1
06800,9,6,1
06820,9,6,1
06840,9,6,1
06850,9,6,1
06860,9,6,1
06870,9,6,1
06880,9,6,1
06890,9,6,1
06900,9,6,1
06920,9,6,1
07000,9,7,1
07010,9,7,1
07020,9,7,1
07040,9,7,1
07050,9,7,1
07058,9,7,1
07060,9,7,1
07069,9,7,1
07070,9,7,1
07080,9,7,1
07089,9,7,1
07090,9,7,1
07100,9,7,1
07109,9,7,1
07110,9,7,1
07119,9,7,1
07130,9,7,1
07140,9,7,1
07144,9,7,1
07149,9,7,1
07150,9,7,1
07160,9,7,1
07164,9,7,1
07170,9,7,1
07180,9,7,1
07183,9,7,1
07187,9,7,1
07188,9,7,1
07189,9,7,1
07190,9,7,1
07199,9,7,1
07200,9,7,1
07207,9,7,1
07209,9,7,1
07210,9,7,1
07214,9,7,1
07220,9,7,1
07224,9,7,1
07230,9,7,1
07239,9,7,1
07240,9,7,1
07248,9,7,1
07249,9,7,1
07250,9,7,1
07259,9,7,1
07268,9,7,1
07269,9,7,1
07270,9,7,1
07279,9,7,1
07280,9,7,1
07290,9,7,1
07300,9,7,1
07310,9,7,1
07320,9,7,1
07323,9,7,1
07326,9,7,1
07327,9,7,1
07328,9,7,1
07329,9,7,1
07330,9,7,1
07340,9,7,1
07349,9,7,1
07350,9,7,1
07359,9,7,1
07360,9,7,1
07363,9,7,1
07369,9,7,1
07370,9,7,1
07380,9,7,1
07400,9,7,1
07410,9,7,1
07420,9,7,1
07430,9,7,1
07440,9,7,1
07450,9,7,1
07455,9,7,1
07456,9,7,1
07457,9,7,1
07458,9,7,1
07459,9,7,1
07460,9,7,1
07469,9,7,1
07470,9,7,1
07480,9,7,1
07500,9,7,1
07509,9,7,1
07510,9,7,1
07520,9,7,1
07530,9,7,1
07540,9,7,1
07548,9,7,1
07549,9,7,1
07550,9,7,1
07560,9,7,1
07570,9,7,1
07580,9,7,1
07600,9,7,1
07620,9,7,1
07630,9,7,1
07640,9,7,1
07650,9,7,1
07660,9,7,1
07670,9,7,1
07680,9,7,1
07700,9,7,1
07707,9,7,1
07708,9,7,1
07709,9,7,1
07720,9,7,1
07730,9,7,1
07739,9,7,1
07740,9,7,1
07750,9,7,1
07754,9,7,1
07755,9,7,1
07760,9,7,1
07770,9,7,1
07780,9,7,1
07790,9,7,1
07800,9,7,1
07810,9,7,1
07820,9,7,1
07830,9,7,1
07838,9,7,1
07839,9,7,1
07840,9,7,1
07850,9,7,1
07858,9,7,1
07859,9,7,1
07860,9,7,1
07869,9,7,1
07870,9,7,1
07880,9,7,1
07889,9,7,1
07890,9,7,1
07899,9,7,1
07900,9,7,1
07909,9,7,1
07910,9,7,1
07918,9,7,1
07919,9,7,1
07920,9,7,1
07930,9,7,1
07939,9,7,1
07940,9,7,1
07950,9,7,1
07958,9,7,1
07960,9,7,1
07969,9,7,1
07970,9,7,1
07979,9,7,1
07980,9,7,1
07990,9,7,1
08000,9,8,1
08010,9,8,1
08020,9,8,1
08029,9,8,1
08030,9,8,1
08040,9,8,1
08100,9,8,1
08160,9,8,1
08170,9,8,1
08180,9,8,1
08188,9,8,1
08189,9,8,1
08200,9,8,1
08210,9,8,1
08220,9,8,1
08230,9,8,1
08240,9,8,1
08300,9,8,1
08310,9,8,1
08320,9,8,1
08400,9,8,1
08420,9,8,1
08500,9,8,1
08510,9,8,1
08520,9,8,1
08560,9,8,1
08580,9,8,1
08600,9,8,1
08610,9,8,1
08619,9,8,1
08620,9,8,1
08650,9,8,1
08700,9,8,1
08710,9,8,1
08720,9,8,1
08730,9,8,1
08760,9,8,1
08770,9,8,1
08800,9,8,1
08810,9,8,1
08820,9,8,1
08830,9,8,1
08840,9,8,1
08900,9,8,1
08910,9,8,1
08920,9,8,1
08930,9,8,1
09000,9,9,1
09010,9,9,1
09020,9,9,1
09030,9,9,1
09040,9,9,1
09060,9,9,1
09070,9,9,1
09080,9,9,1
09089,9,9,1
09090,9,9,1
09099,9,9,1
09100,9,9,1
09110,9,9,1
09120,9,9,1
09130,9,9,1
09140,9,9,1
09150,9,9,1
09160,9,9,1
09180,9,9,1
09200,9,9,1
09208,9,9,1
09209,9,9,1
09210,9,9,1
09219,9,9,1
09220,9,9,1
09230,9,9,1
09233,9,9,1
09239,9,9,1
09240,9,9,1
09250,9,9,1
09260,9,9,1
09270,9,9,1
09280,9,9,1
09290,9,9,1
09300,9,9,1
09310,9,9,1
09319,9,9,1
09320,9,9,1
09350,9,9,1
09359,9,9,1
09360,9,9,1
09368,9,9,1
09369,9,9,1
09400,9,9,1
09410,9,9,1
09420,9,9,1
09429,9,9,1
09430,9,9,1
09438,9,9,1
09440,9,9,1
09450,9,9,1
09460,9,9,1
09470,9,9,1
09479,9,9,1
09480,9,9,1
09500,9,9,1
09510,9,9,1
09520,9,9,1
09530,9,9,1
09550,9,9,1
09560,9,9,1
09570,9,9,1
09577,9,9,1
09578,9,9,1
09579,9,9,1
09600,9,9,1
09608,9,9,1
09609,9,9,1
09620,9,9,1
09630,9,9,1
09637,9,9,1
09638,9,9,1
09640,9,9,1
09648,9,9,1
09660,9,9,1
09670,9,9,1
09680,9,9,1
09689,9,9,1
09690,9,9,1
09696,9,9,1
09698,9,9,1
09700,9,9,1
09704,9,9,1
09705,9,9,1
09706,9,9,1
09708,9,9,1
09709,9,9,1
09710,9,9,1
09719,9,9,1
09720,9,9,1
09730,9,9,1
09740,9,9,1
09750,9,9,1
09759,9,9,1
09760,9,9,1
09767,9,9,1
09768,9,9,1
09769,9,9,1
09770,9,9,1
09779,9,9,1
09780,9,9,1
09790,9,9,1
09800,9,9,1
09809,9,9,1
09810,9,9,1
09819,9,9,1
09820,9,9,1
09828,9,9,1
09829,9,9,1
09830,9,9,1
09836,9,9,1
09837,9,9,1
09838,9,9,1
09839,9,9,1
09840,9,9,1
09849,9,9,1
09850,9,9,1
09856,9,9,1
09857,9,9,1
09858,9,9,1
09859,9,9,1
09860,9,9,1
09864,9,9,1
09868,9,9,1
09870,9,9,1
09880,9,9,1
09889,9,9,1
09890,9,9,1
09897,9,9,1
09899,9,9,1
09900,9,9,1
09910,9,9,1
09920,9,9,1
09930,9,9,1
09940,9,9,1
09960,9,9,1
09969,9,9,1
09970,9,9,1
09979,9,9,1
10000,9,10,1
10010,9,10,1
10020,9,10,1
10100,9,10,1
10110,9,10,1
10130,9,10,1
10200,9,10,1
10210,9,10,1
10290,9,10,1
10300,9,10,1
10309,9,10,1
10320,9,10,1
10330,9,10,1
10340,9,10,1
10350,9,10,1
10360,9,10,1
10368,9,10,1
10369,9,10,1
10370,9,10,1
10378,9,10,1
10379,9,10,1
10380,9,10,1
10400,9,10,1
10500,9,10,1
10580,9,10,1
10600,9,10,1
10610,9,10,1
10620,9,10,1
10630,9,10,1
10640,9,10,1
10650,9,10,1
10660,9,10,1
10700,9,10,1
10710,9,10,1
10720,9,10,1
10730,9,10,1
10740,9,10,1
10800,9,10,1
10810,9,10,1
10820,9,10,1
10830,9,10,1
10840,9,10,1
10900,9,10,1
10910,9,10,1
10920,9,10,1
10926,9,10,1
11000,9,11,1
11040,9,11,1
11100,9,11,1
11109,9,11,1
11200,9,11,1
11210,9,11,1
11220,9,11,1
11230,9,11,1
11239,9,11,1
11240,9,11,1
11250,9,11,1
11259,9,11,1
11260,9,11,1
11270,9,11,1
11280,9,11,1
11289,9,11,1
11290,9,11,1
11300,9,11,1
11310,9,11,1
11320,9,11,1
11330,9,11,1
11340,9,11,1
11350,9,11,1
11360,9,11,1
11370,9,11,1
11400,9,11,1
11410,9,11,1
11420,9,11,1
11430,9,11,1
11440,9,11,1
11450,9,11,1
11460,9,11,1
11470,9,11,1
11479,9,11,1
11480,9,11,1
11489,9,11,1
11490,9,11,1
11500,9,11,1
11510,9,11,1
11520,9,11,1
11529,9,11,1
11530,9,11,1
11540,9,11,1
11550,9,11,1
11560,9,11,1
11580,9,11,1
11590,9,11,1
11600,9,11,1
11610,9,11,1
11619,9,11,1
11649,9,11,1
11650,9,11,1
11700,9,11,1
11800,9,11,1
11810,9,11,1
11820,9,11,1
11830,9,11,1
11840,9,11,1
11850,9,11,1
11860,9,11,1
11870,9,11,1
11910,9,11,1
11920,9,11,1
11930,9,11,1
11950,9,11,1
12000,9,12,1
12070,9,12,1
12080,9,12,1
12100,9,12,1
12110,9,12,1
12200,9,12,1
12250,9,12,1
12300,9,12,1
12400,9,12,1
12410,9,12,1
12500,9,12,1
12600,9,12,1
12700,9,12,1
12800,9,12,1
12910,9,12,1
12920,9,12,1
12930,9,12,1
12940,9,12,1
12950,9,12,1
13000,9,13,1
13010,9,13,1
13020,9,13,1
13030,9,13,1
13040,9,13,1
13050,9,13,1
13060,9,13,1
13063,9,13,1
13070,9,13,1
13080,9,13,1
13090,9,13,1
13093,9,13,1
13094,9,13,1
13099,9,13,1
13100,9,13,1
13110,9,13,1
13119,9,13,1
13120,9,13,1
13123,9,13,1
13129,9,13,1
13150,9,13,1
13180,9,13,1
13200,9,13,1
13210,9,13,1
13219,9,13,1
13220,9,13,1
13230,9,13,1
13250,9,13,1
13270,9,13,1
13273,9,13,1
13278,9,13,1
13280,9,13,1
13300,9,13,1
13310,9,13,1
13315,9,13,1
13316,9,13,1
13317,9,13,1
13318,9,13,1
13319,9,13,1
13360,9,13,1
13363,9,13,1
13400,9,13,1
13410,9,13,1
13419,9,13,1
13420,9,13,1
13429,9,13,1
13430,9,13,1
13440,9,13,1
13450,9,13,1
13460,9,13,1
13508,9,13,1
13509,9,13,1
13510,9,13,1
13520,9,13,1
13529,9,13,1
13530,9,13,1
13540,9,13,1
13545,9,13,1
13546,9,13,1
13549,9,13,1
13550,9,13,1
13559,9,13,1
13600,9,13,1
13610,9,13,1
13625,9,13,1
13630,9,13,1
13640,9,13,1
13700,9,13,1
14000,9,14,1
14010,9,14,1
14020,9,14,1
14030,9,14,1
14038,9,14,1
14039,9,14,1
14040,9,14,1
14049,9,14,1
14050,9,14,1
14060,9,14,1
14070,9,14,1
14080,9,14,1
14090,9,14,1
14098,9,14,1
14100,9,14,1
14108,9,14,1
14110,9,14,1
14120,9,14,1
14129,9,14,1
14130,9,14,1
14140,9,14,1
14148,9,14,1
14150,9,14,1
14160,9,14,1
14200,9,14,1
14208,9,14,1
14209,9,14,1
14210,9,14,1
14219,9,14,1
14220,9,14,1
14230,9,14,1
14239,9,14,1
14240,9,14,1
14248,9,14,1
14250,9,14,1
14260,9,14,1
14266,9,14,1
14267,9,14,1
14268,9,14,1
14269,9,14,1
14270,9,14,1
14273,9,14,1
14275,9,14,1
14276,9,14,1
14300,9,14,1
14307,9,14,1
14308,9,14,1
14309,9,14,1
14310,9,14,1
14320,9,14,1
14325,9,14,1
14326,9,14,1
14327,9,14,1
14328,9,14,1
14329,9,14,1
14330,9,14,1
14334,9,14,1
14335,9,14,1
14336,9,14,1
14337,9,14,1
14338,9,14,1
14340,9,14,1
14350,9,14,1
14356,9,14,1
14357,9,14,1
14358,9,14,1
14360,9,14,1
14370,9,14,1
14376,9,14,1
14377,9,14,1
14378,9,14,1
14380,9,14,1
14386,9,14,1
14387,9,14,1
14388,9,14,1
14389,9,14,1
14390,9,14,1
14399,9,14,1
14400,9,14,1
14406,9,14,1
14408,9,14,1
14409,9,14,1
14410,9,14,1
14420,9,14,1
14426,9,14,1
14427,9,14,1
14428,9,14,1
14429,9,14,1
14430,9,14,1
14438,9,14,1
14439,9,14,1
14440,9,14,1
14449,9,14,1
14450,9,14,1
14456,9,14,1
14460,9,14,1
14470,9,14,1
14476,9,14,1
14479,9,14,1
14480,9,14,1
14490,9,14,1
14500,9,14,1
14520,9,14,1
14529,9,14,1
14550,9,14,1
14600,9,14,1
14608,9,14,1
14609,9,14,1
14610,9,14,1
14620,9,14,1
14629,9,14,1
14630,9,14,1
14639,9,14,1
14640,9,14,1
14643,9,14,1
14646,9,14,1
14647,9,14,1
14650,9,14,1
14653,9,14,1
14654,9,14,1
14655,9,14,1
14657,9,14,1
14658,9,14,1
14659,9,14,1
14700,9,14,1
14710,9,14,1
14720,9,14,1
14730,9,14,1
14734,9,14,1
14735,9,14,1
14737,9,14,1
14738,9,14,1
14739,9,14,1
14740,9,14,1
14748,9,14,1
14749,9,14,1
14750,9,14,1
14760,9,14,1
14780,9,14,1
14790,9,14,1
14900,9,14,1
15000,9,15,1
15010,9,15,1
15020,9,15,1
15100,9,15,1
15120,9,15,1
15200,9,15,1
15210,9,15,1
15220,9,15,1
15230,9,15,1
15240,9,15,1
15250,9,15,1
15260,9,15,1
15270,9,15,1
15280,9,15,1
15290,9,15,1
15299,9,15,1
15300,9,15,1
15309,9,15,1
15310,9,15,1
15320,9,15,1
15330,9,15,1
15339,9,15,1
15340,9,15,1
15350,9,15,1
15370,9,15,1
